id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,6.838901807679941
2,BE_Battery,2030,false,10.0,,34.23132625142098
3,DE_Battery,2030,false,10.0,,107.14551722895048
4,FR_Battery,2030,false,10.0,,593.1779538026691
5,LU_Battery,2030,false,10.0,,25.776978494660646
6,CH_Battery,2030,false,10.0,,34.29558443130045
7,UK_Battery,2030,false,10.0,,333.1477376854156
8,DK_Battery,2030,false,10.0,,4.064653989991257
9,NO_Battery,2030,false,10.0,,32.84689780428344
10,IE_Battery,2030,false,10.0,,9.28557460421498
11,SE_Battery,2030,false,10.0,,37.996620685555534
12,AT_Battery,2030,false,10.0,,45.76472314982457
13,CZ_Battery,2030,false,10.0,,10.477323793319647
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,199.91431040361857
16,IT_Battery,2030,false,10.0,,469.5278205591159
17,LT_Battery,2030,false,10.0,,1.6769582349611256
18,FI_Battery,2030,false,10.0,,15.467885819518779
19,SI_Battery,2030,false,10.0,,29.532522029131066
20,HU_Battery,2030,false,10.0,,49.29095956435494
21,SK_Battery,2030,false,10.0,,28.133650313544855
22,PT_Battery,2030,false,10.0,,96.79523205805545
23,HR_Battery,2030,false,10.0,,1.1652607156909198
24,RO_Battery,2030,false,10.0,,48.404373120186484
25,GR_Battery,2030,false,10.0,,65.67465974787247
26,LV_Battery,2030,false,10.0,,4.28062300512064
27,EE_Battery,2030,false,10.0,,16.861019887566663
28,MT_Battery,2030,false,10.0,,9.195115385947819
29,CY_Battery,2030,false,10.0,,25.74306526219626
30,BG_Battery,2030,false,10.0,,29.724183703365725
