id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,0.63590497383193
2,BE_Battery,2030,false,10.0,,7.540485795864197
3,DE_Battery,2030,false,10.0,,465.834543972266
4,FR_Battery,2030,false,10.0,,309.38973800511303
5,LU_Battery,2030,false,10.0,,66.36863532020868
6,CH_Battery,2030,false,10.0,,133.2009312576703
7,UK_Battery,2030,false,10.0,,305.0782485372154
8,DK_Battery,2030,false,10.0,,0.0
9,NO_Battery,2030,false,10.0,,0.0
10,IE_Battery,2030,false,10.0,,0.0
11,SE_Battery,2030,false,10.0,,7.531480096980522
12,AT_Battery,2030,false,10.0,,0.0
13,CZ_Battery,2030,false,10.0,,39.239350305902555
14,PL_Battery,2030,false,10.0,,34.50832545063658
15,ES_Battery,2030,false,10.0,,230.38047316243902
16,IT_Battery,2030,false,10.0,,623.8939402077863
17,LT_Battery,2030,false,10.0,,0.0
18,FI_Battery,2030,false,10.0,,45.90140043917555
19,SI_Battery,2030,false,10.0,,0.0
20,HU_Battery,2030,false,10.0,,1.1479605491204894
21,SK_Battery,2030,false,10.0,,0.0
22,PT_Battery,2030,false,10.0,,88.71609805815334
23,HR_Battery,2030,false,10.0,,34.82868852055542
24,RO_Battery,2030,false,10.0,,0.0
25,GR_Battery,2030,false,10.0,,0.0
26,LV_Battery,2030,false,10.0,,0.0
27,EE_Battery,2030,false,10.0,,84.20748652774809
28,MT_Battery,2030,false,10.0,,211.10380923480938
29,CY_Battery,2030,false,10.0,,0.0
30,BG_Battery,2030,false,10.0,,51.84663286869854
