id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
117,BG_Balance,2030,10,1,6,4.8852
118,BG_Balance,2030,10,7,12,4.8852
119,BG_Balance,2030,10,13,18,9.108
120,BG_Balance,2030,10,19,24,9.108
121,CH_Balance,2030,1,1,6,5.6286000000000005
122,CH_Balance,2030,1,7,12,10.494
123,CH_Balance,2030,1,13,18,5.6286000000000005
124,CH_Balance,2030,1,19,24,10.494
125,CH_Balance,2030,2,1,6,3.5046
126,CH_Balance,2030,2,7,12,8.740803194443131
127,CH_Balance,2030,2,13,18,0.0
128,CH_Balance,2030,2,19,24,3.5046
129,CH_Balance,2030,3,1,6,3.0798
130,CH_Balance,2030,3,7,12,8.873999999999999
131,CH_Balance,2030,3,13,18,3.0798
132,CH_Balance,2030,3,19,24,8.873999999999999
133,CH_Balance,2030,4,1,6,2.4426
134,CH_Balance,2030,4,7,12,2.4426
135,CH_Balance,2030,4,13,18,2.4426
136,CH_Balance,2030,4,19,24,2.4426
137,CH_Balance,2030,5,1,6,5.5224
138,CH_Balance,2030,5,7,12,5.5224
139,CH_Balance,2030,5,13,18,5.5224
140,CH_Balance,2030,5,19,24,5.5224
141,CH_Balance,2030,6,1,6,1.9116
142,CH_Balance,2030,6,7,12,1.9116
143,CH_Balance,2030,6,13,18,0.0
144,CH_Balance,2030,6,19,24,1.9116
145,CH_Balance,2030,7,1,6,3.9294000000000002
146,CH_Balance,2030,7,7,12,3.9294000000000002
147,CH_Balance,2030,7,13,18,3.9294000000000002
148,CH_Balance,2030,7,19,24,7.3260000000000005
149,CH_Balance,2030,8,1,6,3.2922000000000002
150,CH_Balance,2030,8,7,12,4.399403385042241
151,CH_Balance,2030,8,13,18,0.0
152,CH_Balance,2030,8,19,24,3.2922000000000002
153,CH_Balance,2030,9,1,6,27.6851809944564
154,CH_Balance,2030,9,7,12,4.5666
155,CH_Balance,2030,9,13,18,0.2205592258367295
156,CH_Balance,2030,9,19,24,4.5666
157,CH_Balance,2030,10,1,6,4.8852
158,CH_Balance,2030,10,7,12,9.108
