asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
NL_Solar,2030,false,0.0,487.0,2030
NL_Wind_Onshore,2030,false,0.0,501.0,2030
NL_Wind_Offshore,2030,false,0.0,0.0,2030
NL_Coal,2030,false,0.0,5.0,2030
NL_Nuclear,2030,false,0.0,0.0,2030
NL_CCGT,2030,false,0.0,7.0,2030
NL_OCGT,2030,false,0.0,4.0,2030
NL_Battery,2030,false,0.1630968203586235,0.0040774205089655,2030
BE_Solar,2030,false,0.0,441.0,2030
BE_Wind_Onshore,2030,false,0.0,388.0,2030
BE_Wind_Offshore,2030,false,0.0,0.0,2030
BE_Coal,2030,false,0.0,3.0,2030
BE_Nuclear,2030,false,0.0,0.0,2030
BE_CCGT,2030,false,0.0,2.0,2030
BE_OCGT,2030,false,0.0,5.0,2030
BE_Battery,2030,false,0.0,0.0,2030
DE_Solar,2030,false,0.0,1798.0,2030
DE_Wind_Onshore,2030,false,0.0,2210.0,2030
DE_Wind_Offshore,2030,false,0.0,0.0,2030
DE_Coal,2030,false,0.0,25.0,2030
DE_Nuclear,2030,false,0.0,0.0,2030
DE_CCGT,2030,false,0.0,31.0,2030
DE_OCGT,2030,false,0.0,15.0,2030
DE_Battery,2030,false,1.2921021937509067,0.0323025548437726,2030
FR_Solar,2030,false,0.0,1446.0,2030
FR_Wind_Onshore,2030,false,0.0,2297.0,2030
FR_Wind_Offshore,2030,false,0.0,0.0,2030
FR_Coal,2030,false,0.0,8.0,2030
FR_Nuclear,2030,false,0.0,0.0,2030
FR_CCGT,2030,false,0.0,25.0,2030
FR_OCGT,2030,false,0.0,6.0,2030
FR_Battery,2030,false,0.0,0.0,2030
LU_Solar,2030,false,0.0,33.0,2030
LU_Wind_Onshore,2030,false,0.0,39.0,2030
LU_Wind_Offshore,2030,false,0.0,0.0,2030
LU_Coal,2030,false,0.0,0.0,2030
LU_Nuclear,2030,false,0.0,0.0,2030
LU_CCGT,2030,false,0.0,1.0,2030
LU_OCGT,2030,false,0.0,0.0,2030
LU_Battery,2030,false,4.824220544400066,0.1206055136100016,2030
CH_Solar,2030,false,0.0,416.0,2030
CH_Wind_Onshore,2030,false,0.0,230.0,2030
CH_Wind_Offshore,2030,false,0.0,0.0,2030
CH_Coal,2030,false,0.0,5.0,2030
CH_Nuclear,2030,false,0.0,0.0,2030
CH_CCGT,2030,false,0.0,3.0,2030
CH_OCGT,2030,false,0.0,5.0,2030
CH_Battery,2030,false,0.0622146057416102,0.0015553651435402,2030
UK_Solar,2030,false,0.0,23.0,2030
UK_Wind_Onshore,2030,false,0.0,1517.0,2030
UK_Wind_Offshore,2030,false,0.0,0.0,2030
UK_Coal,2030,false,0.0,0.0,2030
UK_Nuclear,2030,false,0.0,0.0,2030
UK_CCGT,2030,false,0.0,24.0,2030
UK_OCGT,2030,false,0.0,14.0,2030
UK_Battery,2030,false,0.7064622901896656,0.0176615572547416,2030
DK_Solar,2030,false,0.0,177.0,2030
DK_Wind_Onshore,2030,false,0.0,236.0,2030
DK_Wind_Offshore,2030,false,0.0,0.0,2030
DK_Coal,2030,false,0.0,1.0,2030
DK_Nuclear,2030,false,0.0,0.0,2030
DK_CCGT,2030,false,0.0,3.0,2030
DK_OCGT,2030,false,0.0,1.0,2030
DK_Battery,2030,false,0.0394370824868019,0.00098592706217,2030
NO_Solar,2030,false,0.0,0.0,2030
NO_Wind_Onshore,2030,false,0.0,733.0,2030
NO_Wind_Offshore,2030,false,0.0,0.0,2030
NO_Coal,2030,false,0.0,0.0,2030
NO_Nuclear,2030,false,0.0,0.0,2030
NO_CCGT,2030,false,0.0,8.0,2030
NO_OCGT,2030,false,0.0,3.0,2030
NO_Battery,2030,false,0.7386394851433579,0.0184659871285839,2030
IE_Solar,2030,false,0.0,0.0,2030
IE_Wind_Onshore,2030,false,0.0,166.0,2030
IE_Wind_Offshore,2030,false,0.0,0.0,2030
IE_Coal,2030,false,0.0,0.0,2030
IE_Nuclear,2030,false,0.0,0.0,2030
IE_CCGT,2030,false,0.0,2.0,2030
IE_OCGT,2030,false,0.0,2.0,2030
IE_Battery,2030,false,0.0,0.0,2030
SE_Solar,2030,false,0.0,519.0,2030
SE_Wind_Onshore,2030,false,0.0,675.0,2030
SE_Wind_Offshore,2030,false,0.0,0.0,2030
SE_Coal,2030,false,0.0,4.0,2030
SE_Nuclear,2030,false,0.0,0.0,2030
SE_CCGT,2030,false,0.0,12.0,2030
SE_OCGT,2030,false,0.0,4.0,2030
SE_Battery,2030,false,0.031794687070942,0.0007948671767735,2030
AT_Solar,2030,false,0.0,319.0,2030
AT_Wind_Onshore,2030,false,0.0,370.0,2030
AT_Wind_Offshore,2030,false,0.0,0.0,2030
AT_Coal,2030,false,0.0,3.0,2030
AT_Nuclear,2030,false,0.0,0.0,2030
AT_CCGT,2030,false,0.0,4.0,2030
AT_OCGT,2030,false,0.0,9.0,2030
AT_Battery,2030,false,2.736039512833939,0.0684009878208485,2030
CZ_Solar,2030,false,0.0,213.0,2030
CZ_Wind_Onshore,2030,false,0.0,292.0,2030
CZ_Wind_Offshore,2030,false,0.0,0.0,2030
CZ_Coal,2030,false,0.0,3.0,2030
CZ_Nuclear,2030,false,0.0,0.0,2030
CZ_CCGT,2030,false,0.0,3.0,2030
CZ_OCGT,2030,false,0.0,2.0,2030
CZ_Battery,2030,false,0.7424187787726624,0.0185604694693165,2030
PL_Solar,2030,false,0.0,395.0,2030
PL_Wind_Onshore,2030,false,0.0,720.0,2030
PL_Wind_Offshore,2030,false,0.0,0.0,2030
PL_Coal,2030,false,0.0,7.0,2030
