id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
117,AT_Balance,2030,5,21,21,0.0
118,AT_Balance,2030,5,22,22,0.0
119,AT_Balance,2030,5,23,23,0.0
120,AT_Balance,2030,5,24,24,0.0
121,AT_Balance,2030,6,1,1,0.3186
122,AT_Balance,2030,6,2,2,0.3186
123,AT_Balance,2030,6,3,3,0.3186
124,AT_Balance,2030,6,4,4,0.3186
125,AT_Balance,2030,6,5,5,0.3186
126,AT_Balance,2030,6,6,6,0.3186
127,AT_Balance,2030,6,7,7,-0.3186
128,AT_Balance,2030,6,8,8,0.3186
129,AT_Balance,2030,6,9,9,0.3186
130,AT_Balance,2030,6,10,10,0.3186
131,AT_Balance,2030,6,11,11,0.3186
132,AT_Balance,2030,6,12,12,0.3186
133,AT_Balance,2030,6,13,13,0.0
134,AT_Balance,2030,6,14,14,0.3186
135,AT_Balance,2030,6,15,15,0.3186
136,AT_Balance,2030,6,16,16,0.0
137,AT_Balance,2030,6,17,17,0.0
138,AT_Balance,2030,6,18,18,0.3186
139,AT_Balance,2030,6,19,19,0.3186
140,AT_Balance,2030,6,20,20,0.3186
141,AT_Balance,2030,6,21,21,0.3186
142,AT_Balance,2030,6,22,22,0.3186
143,AT_Balance,2030,6,23,23,0.3186
144,AT_Balance,2030,6,24,24,0.3186
145,AT_Balance,2030,7,1,1,0.6549
146,AT_Balance,2030,7,2,2,0.6549
147,AT_Balance,2030,7,3,3,0.6549
148,AT_Balance,2030,7,4,4,0.6549
149,AT_Balance,2030,7,5,5,0.6549
150,AT_Balance,2030,7,6,6,0.6549
151,AT_Balance,2030,7,7,7,-0.0558330641234257
152,AT_Balance,2030,7,8,8,1.3656330641234258
153,AT_Balance,2030,7,9,9,0.08879999999999999
154,AT_Balance,2030,7,10,10,1.221
155,AT_Balance,2030,7,11,11,1.221
156,AT_Balance,2030,7,12,12,0.08879999999999999
157,AT_Balance,2030,7,13,13,0.6549
158,AT_Balance,2030,7,14,14,0.6549
159,AT_Balance,2030,7,15,15,0.32627016320707225
160,AT_Balance,2030,7,16,16,0.9835298367929278
161,AT_Balance,2030,7,17,17,1.8869999999999998
162,AT_Balance,2030,7,18,18,-0.5771999999999995
163,AT_Balance,2030,7,19,19,8.961690479383325
164,AT_Balance,2030,7,20,20,-5.871580645594339
165,AT_Balance,2030,7,21,21,0.08879999999999999
