asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
NL_Solar,2030,false,0.0,459.0,2030
NL_Wind_Onshore,2030,false,0.0,504.0,2030
NL_Wind_Offshore,2030,false,0.0,0.0,2030
NL_Coal,2030,false,0.0,5.0,2030
NL_Nuclear,2030,false,0.0,0.0,2030
NL_CCGT,2030,false,0.0,7.0,2030
NL_OCGT,2030,false,0.0,4.0,2030
NL_Battery,2030,false,0.0781983448915525,0.002606611496385,2030
BE_Solar,2030,false,0.0,329.0,2030
BE_Wind_Onshore,2030,false,0.0,404.0,2030
BE_Wind_Offshore,2030,false,0.0,0.0,2030
BE_Coal,2030,false,0.0,3.0,2030
BE_Nuclear,2030,false,0.0,0.0,2030
BE_CCGT,2030,false,0.0,3.0,2030
BE_OCGT,2030,false,0.0,5.0,2030
BE_Battery,2030,false,3.2430715537374,0.10810238512458,2030
DE_Solar,2030,false,0.0,2307.0,2030
DE_Wind_Onshore,2030,false,0.0,2138.0,2030
DE_Wind_Offshore,2030,false,0.0,0.0,2030
DE_Coal,2030,false,0.0,24.0,2030
DE_Nuclear,2030,false,0.0,0.0,2030
DE_CCGT,2030,false,0.0,27.0,2030
DE_OCGT,2030,false,0.0,28.0,2030
DE_Battery,2030,false,0.1273798571317456,0.0042459952377248,2030
FR_Solar,2030,false,0.0,1438.0,2030
FR_Wind_Onshore,2030,false,0.0,2263.0,2030
FR_Wind_Offshore,2030,false,0.0,0.0,2030
FR_Coal,2030,false,0.0,7.0,2030
FR_Nuclear,2030,false,0.0,0.0,2030
FR_CCGT,2030,false,0.0,26.0,2030
FR_OCGT,2030,false,0.0,9.0,2030
FR_Battery,2030,false,5.558501096530381,0.185283369884346,2030
LU_Solar,2030,false,0.0,39.0,2030
LU_Wind_Onshore,2030,false,0.0,35.0,2030
LU_Wind_Offshore,2030,false,0.0,0.0,2030
LU_Coal,2030,false,0.0,0.0,2030
LU_Nuclear,2030,false,0.0,0.0,2030
LU_CCGT,2030,false,0.0,1.0,2030
LU_OCGT,2030,false,0.0,0.0,2030
LU_Battery,2030,false,26.900037104805698,0.8966679034935234,2030
CH_Solar,2030,false,0.0,386.0,2030
CH_Wind_Onshore,2030,false,0.0,237.0,2030
CH_Wind_Offshore,2030,false,0.0,0.0,2030
CH_Coal,2030,false,0.0,5.0,2030
CH_Nuclear,2030,false,0.0,0.0,2030
CH_CCGT,2030,false,0.0,4.0,2030
CH_OCGT,2030,false,0.0,3.0,2030
CH_Battery,2030,false,0.0,0.0,2030
UK_Solar,2030,false,0.0,0.0,2030
UK_Wind_Onshore,2030,false,0.0,1550.0,2030
UK_Wind_Offshore,2030,false,0.0,0.0,2030
UK_Coal,2030,false,0.0,0.0,2030
UK_Nuclear,2030,false,0.0,0.0,2030
UK_CCGT,2030,false,0.0,23.0,2030
UK_OCGT,2030,false,0.0,9.0,2030
UK_Battery,2030,false,93.31373043054154,3.1104576810180515,2030
DK_Solar,2030,false,0.0,189.0,2030
DK_Wind_Onshore,2030,false,0.0,232.0,2030
DK_Wind_Offshore,2030,false,0.0,0.0,2030
DK_Coal,2030,false,0.0,1.0,2030
DK_Nuclear,2030,false,0.0,0.0,2030
DK_CCGT,2030,false,0.0,3.0,2030
DK_OCGT,2030,false,0.0,1.0,2030
DK_Battery,2030,false,0.5308167963328628,0.0176938932110857,2030
NO_Solar,2030,false,0.0,0.0,2030
NO_Wind_Onshore,2030,false,0.0,730.0,2030
NO_Wind_Offshore,2030,false,0.0,0.0,2030
NO_Coal,2030,false,0.0,0.0,2030
NO_Nuclear,2030,false,0.0,0.0,2030
NO_CCGT,2030,false,0.0,10.0,2030
NO_OCGT,2030,false,0.0,1.0,2030
NO_Battery,2030,false,2.746644935817494,0.0915548311939164,2030
IE_Solar,2030,false,0.0,23.0,2030
IE_Wind_Onshore,2030,false,0.0,173.0,2030
IE_Wind_Offshore,2030,false,0.0,0.0,2030
IE_Coal,2030,false,0.0,0.0,2030
IE_Nuclear,2030,false,0.0,0.0,2030
IE_CCGT,2030,false,0.0,1.0,2030
IE_OCGT,2030,false,0.0,2.0,2030
IE_Battery,2030,false,2.3435920504215573,0.0781197350140519,2030
SE_Solar,2030,false,0.0,632.0,2030
SE_Wind_Onshore,2030,false,0.0,674.0,2030
SE_Wind_Offshore,2030,false,0.0,0.0,2030
SE_Coal,2030,false,0.0,4.0,2030
SE_Nuclear,2030,false,0.0,0.0,2030
