id,asset,milestone_year,investment_integer_storage_energy,capacity_storage_energy,investment_limit_storage_energy,solution
1,NL_Battery,2030,false,10.0,,1.18905624947638
2,BE_Battery,2030,false,10.0,,21.06957237480856
3,DE_Battery,2030,false,10.0,,60.4390227936121
4,FR_Battery,2030,false,10.0,,495.1025843231164
5,LU_Battery,2030,false,10.0,,19.917868631935182
6,CH_Battery,2030,false,10.0,,17.332439963343337
7,UK_Battery,2030,false,10.0,,184.3910180080602
8,DK_Battery,2030,false,10.0,,1.7914184633329568
9,NO_Battery,2030,false,10.0,,13.591457904977142
10,IE_Battery,2030,false,10.0,,0.45136303037706965
11,SE_Battery,2030,false,10.0,,14.21114483623678
12,AT_Battery,2030,false,10.0,,47.45728446250012
13,CZ_Battery,2030,false,10.0,,0.0
14,PL_Battery,2030,false,10.0,,0.0
15,ES_Battery,2030,false,10.0,,163.40802476488062
16,IT_Battery,2030,false,10.0,,266.7430444328835
17,LT_Battery,2030,false,10.0,,0.5327891737322483
18,FI_Battery,2030,false,10.0,,0.0
19,SI_Battery,2030,false,10.0,,29.532522029131066
20,HU_Battery,2030,false,10.0,,27.758623810261934
21,SK_Battery,2030,false,10.0,,31.701066787165264
22,PT_Battery,2030,false,10.0,,89.5461819024691
23,HR_Battery,2030,false,10.0,,1.5774915170755321
24,RO_Battery,2030,false,10.0,,25.65841257399334
25,GR_Battery,2030,false,10.0,,64.18181357165523
26,LV_Battery,2030,false,10.0,,3.629201764618167
27,EE_Battery,2030,false,10.0,,25.890810913973922
28,MT_Battery,2030,false,10.0,,14.999443656124146
29,CY_Battery,2030,false,10.0,,18.2515530701173
30,BG_Battery,2030,false,10.0,,74.54499027846559
