asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
IT_Nuclear,2030,false,0.0,0.0,2030
IT_CCGT,2030,false,0.0,13.0,2030
IT_OCGT,2030,false,0.0,19.0,2030
IT_Battery,2030,false,0.0,0.0,2030
LT_Solar,2030,false,0.0,23.0,2030
LT_Wind_Onshore,2030,false,0.0,36.0,2030
LT_Wind_Offshore,2030,false,0.0,0.0,2030
LT_Coal,2030,false,0.0,0.0,2030
LT_Nuclear,2030,false,0.0,0.0,2030
LT_CCGT,2030,false,0.0,2.0,2030
LT_OCGT,2030,false,0.0,1.0,2030
LT_Battery,2030,false,0.5253881922580887,0.0087564698709674,2030
FI_Solar,2030,false,0.0,431.0,2030
FI_Wind_Onshore,2030,false,0.0,496.0,2030
FI_Wind_Offshore,2030,false,0.0,0.0,2030
FI_Coal,2030,false,0.0,4.0,2030
FI_Nuclear,2030,false,0.0,0.0,2030
FI_CCGT,2030,false,0.0,7.0,2030
FI_OCGT,2030,false,0.0,1.0,2030
FI_Battery,2030,false,1.4284546053631857,0.023807576756053,2030
SI_Solar,2030,false,0.0,57.0,2030
SI_Wind_Onshore,2030,false,0.0,42.0,2030
SI_Wind_Offshore,2030,false,0.0,0.0,2030
SI_Coal,2030,false,0.0,1.0,2030
SI_Nuclear,2030,false,0.0,0.0,2030
SI_CCGT,2030,false,0.0,0.0,2030
SI_OCGT,2030,false,0.0,1.0,2030
SI_Battery,2030,false,0.0,0.0,2030
HU_Solar,2030,false,0.0,497.0,2030
HU_Wind_Onshore,2030,false,0.0,236.0,2030
HU_Wind_Offshore,2030,false,0.0,0.0,2030
HU_Coal,2030,false,0.0,3.0,2030
HU_Nuclear,2030,false,0.0,0.0,2030
HU_CCGT,2030,false,0.0,2.0,2030
HU_OCGT,2030,false,0.0,7.0,2030
HU_Battery,2030,false,0.8157777627723855,0.0135962960462064,2030
SK_Solar,2030,false,0.0,36.0,2030
SK_Wind_Onshore,2030,false,0.0,40.0,2030
SK_Wind_Offshore,2030,false,0.0,0.0,2030
SK_Coal,2030,false,0.0,0.0,2030
SK_Nuclear,2030,false,0.0,0.0,2030
SK_CCGT,2030,false,0.0,0.0,2030
SK_OCGT,2030,false,0.0,1.0,2030
SK_Battery,2030,false,5.324922540835013,0.0887487090139168,2030
PT_Solar,2030,false,0.0,275.0,2030
PT_Wind_Onshore,2030,false,0.0,324.0,2030
PT_Wind_Offshore,2030,false,0.0,0.0,2030
PT_Coal,2030,false,0.0,2.0,2030
PT_Nuclear,2030,false,0.0,0.0,2030
PT_CCGT,2030,false,0.0,2.0,2030
PT_OCGT,2030,false,0.0,3.0,2030
PT_Battery,2030,false,4.025634817221362,0.067093913620356,2030
HR_Solar,2030,false,0.0,112.0,2030
HR_Wind_Onshore,2030,false,0.0,48.0,2030
HR_Wind_Offshore,2030,false,0.0,0.0,2030
HR_Coal,2030,false,0.0,1.0,2030
HR_Nuclear,2030,false,0.0,0.0,2030
HR_CCGT,2030,false,0.0,0.0,2030
HR_OCGT,2030,false,0.0,1.0,2030
HR_Battery,2030,false,49.24244436969118,0.8207074061612367,2030
RO_Solar,2030,false,0.0,340.0,2030
RO_Wind_Onshore,2030,false,0.0,241.0,2030
RO_Wind_Offshore,2030,false,0.0,0.0,2030
RO_Coal,2030,false,0.0,2.0,2030
RO_Nuclear,2030,false,0.0,0.0,2030
RO_CCGT,2030,false,0.0,2.0,2030
RO_OCGT,2030,false,0.0,4.0,2030
RO_Battery,2030,false,3.6558879620212337,0.0609314660336872,2030
GR_Solar,2030,false,0.0,257.0,2030
GR_Wind_Onshore,2030,false,0.0,193.0,2030
GR_Wind_Offshore,2030,false,0.0,0.0,2030
GR_Coal,2030,false,0.0,3.0,2030
GR_Nuclear,2030,false,0.0,0.0,2030
GR_CCGT,2030,false,0.0,0.0,2030
GR_OCGT,2030,false,0.0,2.0,2030
GR_Battery,2030,false,13.7474216912999,0.2291236948549983,2030
LV_Solar,2030,false,0.0,7.0,2030
LV_Wind_Onshore,2030,false,0.0,22.0,2030
LV_Wind_Offshore,2030,false,0.0,0.0,2030
LV_Coal,2030,false,0.0,0.0,2030
LV_Nuclear,2030,false,0.0,0.0,2030
LV_CCGT,2030,false,0.0,1.0,2030
LV_OCGT,2030,false,0.0,1.0,2030
LV_Battery,2030,false,2.6977709012103226,0.0449628483535053,2030
EE_Solar,2030,false,0.0,0.0,2030
EE_Wind_Onshore,2030,false,0.0,39.0,2030
EE_Wind_Offshore,2030,false,0.0,0.0,2030
EE_Coal,2030,false,0.0,0.0,2030
EE_Nuclear,2030,false,0.0,0.0,2030
EE_CCGT,2030,false,0.0,1.0,2030
EE_OCGT,2030,false,0.0,0.0,2030
EE_Battery,2030,false,16.44342493276954,0.2740570822128256,2030
MT_Solar,2030,false,0.0,52.0,2030
MT_Wind_Onshore,2030,false,0.0,0.0,2030
MT_Wind_Offshore,2030,false,0.0,0.0,2030
MT_Coal,2030,false,0.0,0.0,2030
MT_Nuclear,2030,false,0.0,0.0,2030
MT_CCGT,2030,false,0.0,1.0,2030
MT_OCGT,2030,false,0.0,0.0,2030
MT_Battery,2030,false,24.15474118570438,0.4025790197617397,2030
CY_Solar,2030,false,0.0,43.0,2030
CY_Wind_Onshore,2030,false,0.0,0.0,2030
CY_Wind_Offshore,2030,false,0.0,0.0,2030
CY_Coal,2030,false,0.0,1.0,2030
CY_Nuclear,2030,false,0.0,0.0,2030
CY_CCGT,2030,false,0.0,0.0,2030
CY_OCGT,2030,false,0.0,0.0,2030
CY_Battery,2030,false,0.0,0.0,2030
BG_Solar,2030,false,0.0,254.0,2030
BG_Wind_Onshore,2030,false,0.0,149.0,2030
BG_Wind_Offshore,2030,false,0.0,0.0,2030
BG_Coal,2030,false,0.0,2.0,2030
BG_Nuclear,2030,false,0.0,0.0,2030
BG_CCGT,2030,false,0.0,0.0,2030
BG_OCGT,2030,false,0.0,2.0,2030
BG_Battery,2030,false,0.0,0.0,2030
