asset,commission_year,decommissionable,initial_storage_units,initial_units,milestone_year
ES_Battery,2030,false,9.381819361409724,0.3127273120469908,2030
IT_Solar,2030,false,0.0,2730.0,2030
IT_Wind_Onshore,2030,false,0.0,873.0,2030
IT_Wind_Offshore,2030,false,0.0,0.0,2030
IT_Coal,2030,false,0.0,29.0,2030
IT_Nuclear,2030,false,0.0,0.0,2030
IT_CCGT,2030,false,0.0,15.0,2030
IT_OCGT,2030,false,0.0,23.0,2030
IT_Battery,2030,false,162.20150412361545,5.406716804120515,2030
LT_Solar,2030,false,0.0,26.0,2030
LT_Wind_Onshore,2030,false,0.0,35.0,2030
LT_Wind_Offshore,2030,false,0.0,0.0,2030
LT_Coal,2030,false,0.0,0.0,2030
LT_Nuclear,2030,false,0.0,0.0,2030
LT_CCGT,2030,false,0.0,2.0,2030
LT_OCGT,2030,false,0.0,1.0,2030
LT_Battery,2030,false,0.0,0.0,2030
FI_Solar,2030,false,0.0,280.0,2030
FI_Wind_Onshore,2030,false,0.0,504.0,2030
FI_Wind_Offshore,2030,false,0.0,0.0,2030
FI_Coal,2030,false,0.0,4.0,2030
FI_Nuclear,2030,false,0.0,0.0,2030
FI_CCGT,2030,false,0.0,8.0,2030
FI_OCGT,2030,false,0.0,3.0,2030
FI_Battery,2030,false,2.4504300028962462,0.0816810000965415,2030
SI_Solar,2030,false,0.0,48.0,2030
SI_Wind_Onshore,2030,false,0.0,45.0,2030
SI_Wind_Offshore,2030,false,0.0,0.0,2030
SI_Coal,2030,false,0.0,1.0,2030
SI_Nuclear,2030,false,0.0,0.0,2030
SI_CCGT,2030,false,0.0,0.0,2030
SI_OCGT,2030,false,0.0,1.0,2030
SI_Battery,2030,false,13.662479287251877,0.3057261405083368,2030
HU_Solar,2030,false,0.0,314.0,2030
HU_Wind_Onshore,2030,false,0.0,257.0,2030
HU_Wind_Offshore,2030,false,0.0,0.0,2030
HU_Coal,2030,false,0.0,3.0,2030
HU_Nuclear,2030,false,0.0,0.0,2030
HU_CCGT,2030,false,0.0,4.0,2030
HU_OCGT,2030,false,0.0,6.0,2030
HU_Battery,2030,false,43.67530197227243,1.4558433990757476,2030
SK_Solar,2030,false,0.0,26.0,2030
SK_Wind_Onshore,2030,false,0.0,38.0,2030
SK_Wind_Offshore,2030,false,0.0,0.0,2030
SK_Coal,2030,false,0.0,0.0,2030
SK_Nuclear,2030,false,0.0,0.0,2030
SK_CCGT,2030,false,0.0,1.0,2030
SK_OCGT,2030,false,0.0,0.0,2030
SK_Battery,2030,false,26.25353816414362,0.8305613705098107,2030
PT_Solar,2030,false,0.0,367.0,2030
PT_Wind_Onshore,2030,false,0.0,275.0,2030
PT_Wind_Offshore,2030,false,0.0,0.0,2030
PT_Coal,2030,false,0.0,3.0,2030
PT_Nuclear,2030,false,0.0,0.0,2030
PT_CCGT,2030,false,0.0,1.0,2030
PT_OCGT,2030,false,0.0,3.0,2030
PT_Battery,2030,false,14.844350537617688,0.371108763440443,2030
HR_Solar,2030,false,0.0,66.0,2030
HR_Wind_Onshore,2030,false,0.0,43.0,2030
HR_Wind_Offshore,2030,false,0.0,0.0,2030
HR_Coal,2030,false,0.0,1.0,2030
HR_Nuclear,2030,false,0.0,0.0,2030
HR_CCGT,2030,false,0.0,1.0,2030
HR_OCGT,2030,false,0.0,1.0,2030
HR_Battery,2030,false,0.0,0.0,2030
RO_Solar,2030,false,0.0,310.0,2030
RO_Wind_Onshore,2030,false,0.0,235.0,2030
RO_Wind_Offshore,2030,false,0.0,0.0,2030
RO_Coal,2030,false,0.0,2.0,2030
RO_Nuclear,2030,false,0.0,0.0,2030
RO_CCGT,2030,false,0.0,3.0,2030
RO_OCGT,2030,false,0.0,3.0,2030
RO_Battery,2030,false,0.1138672435187099,0.0028466810879677,2030
GR_Solar,2030,false,0.0,227.0,2030
GR_Wind_Onshore,2030,false,0.0,189.0,2030
GR_Wind_Offshore,2030,false,0.0,0.0,2030
GR_Coal,2030,false,0.0,3.0,2030
GR_Nuclear,2030,false,0.0,0.0,2030
GR_CCGT,2030,false,0.0,1.0,2030
GR_OCGT,2030,false,0.0,2.0,2030
GR_Battery,2030,false,37.89945948785449,0.9474864871963622,2030
LV_Solar,2030,false,0.0,7.0,2030
LV_Wind_Onshore,2030,false,0.0,23.0,2030
LV_Wind_Offshore,2030,false,0.0,0.0,2030
LV_Coal,2030,false,0.0,0.0,2030
LV_Nuclear,2030,false,0.0,0.0,2030
LV_CCGT,2030,false,0.0,1.0,2030
LV_OCGT,2030,false,0.0,1.0,2030
LV_Battery,2030,false,0.0,0.0,2030
EE_Solar,2030,false,0.0,1.0,2030
EE_Wind_Onshore,2030,false,0.0,38.0,2030
EE_Wind_Offshore,2030,false,0.0,0.0,2030
EE_Coal,2030,false,0.0,0.0,2030
EE_Nuclear,2030,false,0.0,0.0,2030
EE_CCGT,2030,false,0.0,1.0,2030
EE_OCGT,2030,false,0.0,0.0,2030
EE_Battery,2030,false,20.72613860113887,0.5181534650284717,2030
MT_Solar,2030,false,0.0,40.0,2030
MT_Wind_Onshore,2030,false,0.0,0.0,2030
MT_Wind_Offshore,2030,false,0.0,0.0,2030
MT_Coal,2030,false,0.0,0.0,2030
MT_Nuclear,2030,false,0.0,0.0,2030
MT_CCGT,2030,false,0.0,1.0,2030
MT_OCGT,2030,false,0.0,0.0,2030
MT_Battery,2030,false,12.021562064452157,0.3005390515180615,2030
